date,bitcoins
2012-12-20,4
2012-12-21,1
2012-12-22,3
2012-12-23,3
2012-12-24,5
2012-12-25,1
2012-12-26,4
2012-12-27,3
2012-12-28,2
2012-12-29,2
2012-12-30,1
2012-12-31,3
2013-01-01,3
2013-01-02,5
2013-01-03,3
2013-01-04,5
2013-01-05,6
2013-01-06,7
2013-01-07,8
2013-01-08,4
2013-01-09,4
2013-01-10,5
2013-01-11,4
2013-01-12,5
2013-01-13,5
2013-01-14,8
2013-01-15,3
2013-01-16,2
2013-01-17,7
2013-01-18,7
2013-01-19,6
2013-01-20,4
2013-01-21,7
2013-01-22,6
2013-01-23,6
2013-01-24,5
2013-01-25,5
2013-01-26,5
2013-01-27,3
2013-01-28,5
2013-01-29,8
2013-01-30,8
2013-01-31,6
2013-02-01,6
2013-02-02,8
2013-02-03,6
2013-02-04,5
2013-02-05,6
2013-02-06,5
2013-02-07,4
2013-02-08,6
2013-02-09,3
2013-02-10,6
2013-02-11,5
2013-02-12,9
2013-02-13,6
2013-02-14,9
2013-02-15,7
2013-02-16,8
2013-02-17,13
2013-02-18,6
2013-02-19,6
2013-02-20,6
2013-02-21,6
2013-02-22,7
2013-02-23,6
2013-02-24,7
2013-02-25,7
2013-02-26,6
2013-02-27,6
2013-02-28,8
2013-03-01,9
2013-03-02,5
2013-03-03,7
2013-03-04,7
2013-03-05,6
2013-03-06,12
2013-03-07,15
2013-03-08,8
2013-03-09,10
2013-03-10,11
2013-03-11,10
2013-03-12,10
2013-03-13,10
2013-03-14,9
2013-03-15,5
2013-03-16,6
2013-03-17,11
2013-03-18,11
2013-03-19,13
2013-03-20,21
2013-03-21,21
2013-03-22,36
2013-03-23,37
2013-03-24,14
2013-03-25,14
2013-03-26,21
2013-03-27,28
2013-03-28,31
2013-03-29,31
2013-03-30,30
2013-03-31,23
2013-04-01,30
2013-04-02,37
2013-04-03,52
2013-04-04,49
2013-04-05,34
2013-04-06,38
2013-04-07,34
2013-04-08,50
2013-04-09,58
2013-04-10,77
2013-04-11,100
2013-04-12,82
2013-04-13,47
2013-04-14,44
2013-04-15,36
2013-04-16,45
2013-04-17,29
2013-04-18,32
2013-04-19,24
2013-04-20,16
2013-04-21,14
2013-04-22,20
2013-04-23,28
2013-04-24,22
2013-04-25,16
2013-04-26,20
2013-04-27,20
2013-04-28,19
2013-04-29,14
2013-04-30,21
2013-05-01,25
2013-05-02,12
2013-05-03,9
2013-05-04,6
2013-05-05,10
2013-05-06,11
2013-05-07,10
2013-05-08,6
2013-05-09,8
2013-05-10,7
2013-05-11,7
2013-05-12,7
2013-05-13,6
2013-05-14,8
2013-05-15,10
2013-05-16,8
2013-05-17,7
2013-05-18,7
2013-05-19,9
2013-05-20,7
2013-05-21,8
2013-05-22,7
2013-05-23,6
2013-05-24,4
2013-05-25,6
2013-05-26,5
