Date,bitcoins
12/20/2012,4
12/21/2012,1
12/22/2012,3
12/23/2012,3
12/24/2012,5
12/25/2012,1
12/26/2012,4
12/27/2012,3
12/28/2012,2
12/29/2012,2
12/30/2012,1
12/31/2012,3
1/1/2013,3
1/2/2013,5
1/3/2013,3
1/4/2013,5
1/5/2013,6
1/6/2013,7
1/7/2013,8
1/8/2013,4
1/9/2013,4
1/10/2013,5
1/11/2013,4
1/12/2013,5
1/13/2013,5
1/14/2013,8
1/15/2013,3
1/16/2013,2
1/17/2013,7
1/18/2013,7
1/19/2013,6
1/20/2013,4
1/21/2013,7
1/22/2013,6
1/23/2013,6
1/24/2013,5
1/25/2013,5
1/26/2013,5
1/27/2013,3
1/28/2013,5
1/29/2013,8
1/30/2013,8
1/31/2013,6
2/1/2013,6
2/2/2013,8
2/3/2013,6
2/4/2013,5
2/5/2013,6
2/6/2013,5
2/7/2013,4
2/8/2013,6
2/9/2013,3
2/10/2013,6
2/11/2013,5
2/12/2013,9
2/13/2013,6
2/14/2013,9
2/15/2013,7
2/16/2013,8
2/17/2013,13
2/18/2013,6
2/19/2013,6
2/20/2013,6
2/21/2013,6
2/22/2013,7
2/23/2013,6
2/24/2013,7
2/25/2013,7
2/26/2013,6
2/27/2013,6
2/28/2013,8
3/1/2013,9
3/2/2013,5
3/3/2013,7
3/4/2013,7
3/5/2013,6
3/6/2013,12
3/7/2013,15
3/8/2013,8
3/9/2013,10
3/10/2013,11
3/11/2013,10
3/12/2013,10
3/13/2013,10
3/14/2013,9
3/15/2013,5
3/16/2013,6
3/17/2013,11
3/18/2013,11
3/19/2013,13
3/20/2013,21
3/21/2013,21
3/22/2013,36
3/23/2013,37
3/24/2013,14
3/25/2013,14
3/26/2013,21
3/27/2013,28
3/28/2013,31
3/29/2013,31
3/30/2013,30
3/31/2013,23
4/1/2013,30
4/2/2013,37
4/3/2013,52
4/4/2013,49
4/5/2013,34
4/6/2013,38
4/7/2013,34
4/8/2013,50
4/9/2013,58
4/10/2013,77
4/11/2013,100
4/12/2013,82
4/13/2013,47
4/14/2013,44
4/15/2013,36
4/16/2013,45
4/17/2013,29
4/18/2013,32
4/19/2013,24
4/20/2013,16
4/21/2013,14
4/22/2013,20
4/23/2013,28
4/24/2013,22
4/25/2013,16
4/26/2013,20
4/27/2013,20
4/28/2013,19
4/29/2013,14
4/30/2013,21
5/1/2013,25
5/2/2013,12
5/3/2013,9
5/4/2013,6
5/5/2013,10
5/6/2013,11
5/7/2013,10
5/8/2013,6
5/9/2013,8
5/10/2013,7
5/11/2013,7
5/12/2013,7
5/13/2013,6
5/14/2013,8
5/15/2013,10
5/16/2013,8
5/17/2013,7
5/18/2013,7
5/19/2013,9
5/20/2013,7
5/21/2013,8
5/22/2013,7
5/23/2013,6
5/24/2013,4
5/25/2013,6
5/26/2013,5
5/27/2013,7
5/28/2013,7
5/29/2013,10
5/30/2013,7
5/31/2013,6
6/1/2013,6
6/2/2013,7
6/3/2013,6
6/4/2013,6
6/5/2013,5
6/6/2013,5
6/7/2013,5
6/8/2013,7
6/9/2013,10
6/10/2013,8
6/11/2013,6
6/12/2013,7
6/13/2013,4
6/14/2013,3
6/15/2013,7
6/16/2013,7
6/17/2013,7
6/18/2013,4
6/19/2013,7
6/20/2013,5
6/21/2013,4
6/22/2013,5
6/23/2013,5
6/24/2013,5
6/25/2013,6
6/26/2013,5
6/27/2013,6
6/28/2013,7
6/29/2013,5
6/30/2013,8
7/1/2013,4
7/2/2013,12
7/3/2013,8
7/4/2013,7
7/5/2013,6
7/6/2013,4
7/7/2013,5
7/8/2013,5
7/9/2013,5
7/10/2013,6
7/11/2013,7
7/12/2013,4
7/13/2013,5
7/14/2013,3
7/15/2013,5
7/16/2013,4
7/17/2013,5
7/18/2013,5
7/19/2013,3
7/20/2013,8
7/21/2013,5
7/22/2013,5
7/23/2013,5
7/24/2013,4
7/25/2013,5
7/26/2013,6
7/27/2013,2
7/28/2013,6
7/29/2013,6
7/30/2013,7
7/31/2013,7
8/1/2013,4
8/2/2013,4
8/3/2013,4
8/4/2013,8
8/5/2013,6
8/6/2013,6
8/7/2013,4
8/8/2013,8
8/9/2013,7
8/10/2013,4
8/11/2013,7
8/12/2013,7
8/13/2013,6
8/14/2013,9
8/15/2013,9
8/16/2013,7
8/17/2013,6
8/18/2013,7
8/19/2013,9
8/20/2013,5
8/21/2013,7
8/22/2013,6
8/23/2013,6
8/24/2013,7
8/25/2013,6
8/26/2013,5
8/27/2013,8
8/28/2013,6
8/29/2013,7
8/30/2013,3
8/31/2013,5
9/1/2013,5
9/2/2013,4
